### Forward Only
/content/spring2024-assignment2-systems
INFO - number of non-embedding parameters: 1490.72M
STAGE:2024-07-05 23:03:43 4814:4814 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-07-05 23:03:46 4814:4814 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-07-05 23:03:46 4814:4814 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ToCopyBackward0...         0.49%      22.737ms         3.28%     151.642ms      52.381us       0.000us         0.00%      79.031ms      27.299us          2895  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      78.515ms         4.18%      78.515ms      25.045us          3135  
                                             aten::add_         0.87%      40.280ms         1.49%      68.946ms      15.315us      65.204ms         3.47%      76.002ms      16.882us          4502  
                                              aten::sum         2.07%      95.735ms         2.87%     132.442ms      35.450us      59.683ms         3.18%      69.322ms      18.555us          3736  
                                        ToCopyBackward0         0.18%       8.260ms         2.52%     116.331ms      40.183us       0.000us         0.00%      64.040ms      22.121us          2895  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.916ms         3.35%      62.916ms      32.431us          1940  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      56.379ms         3.00%      56.379ms      20.773us          2714  
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      52.089ms         2.77%      52.089ms      54.259us           960  
                                             aten::mul_         0.27%      12.460ms         0.49%      22.596ms      11.678us      49.574ms         2.64%      52.052ms      26.900us          1935  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128...         0.00%       0.000us         0.00%       0.000us       0.000us      50.225ms         2.67%      50.225ms      52.318us           960  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      47.973ms         2.55%      47.973ms      16.486us          2910  
                                            aten::fill_         0.60%      27.851ms         1.38%      63.810ms      14.585us      41.301ms         2.20%      47.626ms      10.886us          4375  
                                            aten::zero_         0.42%      19.407ms         1.69%      78.285ms      18.955us       0.000us         0.00%      46.644ms      11.294us          4130  
                                             aten::sqrt         0.55%      25.492ms         0.82%      37.921ms      19.547us      43.712ms         2.33%      46.543ms      23.991us          1940  
                                           aten::square         0.13%       5.944ms         1.16%      53.489ms      27.643us       0.000us         0.00%      44.646ms      23.073us          1935  
ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      44.389ms         2.36%      44.389ms     184.954us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.712ms         2.33%      43.712ms      22.532us          1940  
                                            aten::clone         0.34%      15.522ms         2.27%     104.866ms      43.694us       0.000us         0.00%      43.589ms      18.162us          2400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.663ms         2.27%      42.663ms      59.254us           720  
                                       aten::zeros_like         0.43%      20.037ms         2.92%     134.744ms      34.818us       0.000us         0.00%      42.143ms      10.890us          3870  
      autograd::engine::evaluate_function: PowBackward0         0.22%      10.381ms         1.48%      68.409ms     141.049us       0.000us         0.00%      41.755ms      86.093us           485  
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      41.506ms         2.21%      41.506ms     172.942us           240  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.620s
Self CUDA time total: 1.879s
